"Name","Total Time","Total Time (CPU)","Hits"
"Periodic tasks thread","5,453 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"  com.intellij.util.concurrency.AppDelayQueue$$Lambda$27.0x00000001000b4c40.run ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"   com.intellij.util.concurrency.AppDelayQueue.lambda$new$0 ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"    java.util.concurrent.DelayQueue.take ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"AWT-EventQueue-0","5,453 ms (-0%)","0.0 ms (0%)","1"
" java.awt.EventDispatchThread.run ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"  java.awt.EventDispatchThread.pumpEvents ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"   java.awt.EventDispatchThread.pumpEvents ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"    java.awt.EventDispatchThread.pumpEventsForHierarchy ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"     java.awt.EventDispatchThread.pumpEventsForFilter ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"      java.awt.EventDispatchThread.pumpOneEventForFilters ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"       com.intellij.ide.IdeEventQueue.getNextEvent ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"        com.intellij.openapi.application.impl.ApplicationImpl.runUnlockingIntendedWrite ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"         com.intellij.ide.IdeEventQueue$$Lambda$479.0x000000010064b040.compute ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"          com.intellij.ide.IdeEventQueue.lambda$getNextEvent$16 ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"           java.awt.EventQueue.getNextEvent ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"Netty Builtin Server 1","5,453 ms (-0%)","5,453 ms (-0%)","1"
" java.lang.Thread.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"  io.netty.util.concurrent.FastThreadLocalRunnable.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"   io.netty.util.internal.ThreadExecutorMap$2.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"    io.netty.util.concurrent.SingleThreadEventExecutor$4.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"     io.netty.channel.nio.NioEventLoop.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"      io.netty.channel.nio.NioEventLoop.select ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"       io.netty.channel.nio.SelectedSelectionKeySetSelector.select ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"        sun.nio.ch.SelectorImpl.select ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"Netty Builtin Server 2","5,453 ms (-0%)","5,453 ms (-0%)","1"
" java.lang.Thread.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"  io.netty.util.concurrent.FastThreadLocalRunnable.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"   io.netty.util.internal.ThreadExecutorMap$2.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"    io.netty.util.concurrent.SingleThreadEventExecutor$4.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"     io.netty.channel.nio.NioEventLoop.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"      io.netty.channel.nio.NioEventLoop.select ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"       io.netty.channel.nio.SelectedSelectionKeySetSelector.select ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"        sun.nio.ch.SelectorImpl.select ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"GlobalMenuLinux loop","5,453 ms (-0%)","5,453 ms (-0%)","1"
" java.lang.Thread.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
