"Name","Live Bytes","Live Objects"
"byte[]","51,235,240 B (27.2%)","411,737 (12.5%)"
"int[]","32,684,272 B (17.3%)","38,893 (1.2%)"
"java.lang.Object[]","10,353,744 B (5.5%)","193,590 (5.9%)"
"java.lang.String","8,548,944 B (4.5%)","356,206 (10.8%)"
"java.awt.Component[]","6,545,984 B (3.5%)","215,478 (6.5%)"
"java.lang.Class","4,692,464 B (2.5%)","39,841 (1.2%)"
"java.awt.Rectangle","3,064,800 B (1.6%)","95,775 (2.9%)"
"char[]","3,050,952 B (1.6%)","12,016 (0.4%)"
"java.util.TreeMap$Entry","2,962,160 B (1.6%)","74,054 (2.2%)"
"java.util.concurrent.ConcurrentHashMap$Node","2,600,608 B (1.4%)","81,269 (2.5%)"
"java.lang.Long","2,294,808 B (1.2%)","95,617 (2.9%)"
"java.util.HashMap$Node","2,022,144 B (1.1%)","63,192 (1.9%)"
"java.awt.Point","1,934,064 B (1%)","80,586 (2.4%)"
"java.security.AccessControlContext","1,764,640 B (0.9%)","44,116 (1.3%)"
"java.util.HashMap$Node[]","1,689,136 B (0.9%)","11,893 (0.4%)"
"java.lang.ref.WeakReference","1,575,200 B (0.8%)","49,225 (1.5%)"
"java.io.ObjectStreamClass$WeakClassKey","1,370,016 B (0.7%)","42,813 (1.3%)"
"java.lang.ref.SoftReference","1,192,960 B (0.6%)","29,824 (0.9%)"
"org.jdom.Attribute","904,280 B (0.5%)","22,607 (0.7%)"
"java.awt.event.MouseEvent","879,440 B (0.5%)","10,993 (0.3%)"
"java.util.LinkedHashMap$Entry","879,160 B (0.5%)","21,979 (0.7%)"
"java.awt.geom.AffineTransform","867,744 B (0.5%)","12,052 (0.4%)"
"java.util.Hashtable$Entry","825,824 B (0.4%)","25,807 (0.8%)"
"java.lang.Class[]","770,688 B (0.4%)","33,412 (1%)"
"com.intellij.util.containers.LockFreeCopyOnWriteArrayList$COWIterator","765,024 B (0.4%)","23,907 (0.7%)"
"java.lang.reflect.Method","721,424 B (0.4%)","8,198 (0.2%)"
